Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Short-Term AGS Held by Non-Resident Holdings,date,value
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2006-09-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2006-12-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2007-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2007-06-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2007-09-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2007-12-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2008-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2008-06-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2008-09-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2008-12-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2009-03-31,0.0711354891273105
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2009-06-30,0.0848172108701447
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2009-09-30,0.116989355397806
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2009-12-31,0.205042278798797
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2010-03-31,0.257931459179956
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2010-06-30,0.501756853870226
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2010-09-30,0.459130190560022
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2010-12-31,0.534746830107059
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2011-03-31,0.664047456294991
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2011-06-30,0.701323023774104
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2011-09-30,0.508503140051464
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2011-12-31,0.531763841577311
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2012-03-31,0.360036993509649
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2012-06-30,0.48657940105024
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2012-09-30,0.350354794332256
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2012-12-31,0.326247689040372
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2013-03-31,0.399212281033736
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2013-06-30,0.376283931320288
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2013-09-30,0.409400851544821
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2013-12-31,0.417920356309308
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2014-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2014-06-30,0.187450804521878
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2014-09-30,0.112178085037189
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2014-12-31,0.0621069703338241
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2015-03-31,0.150003617408152
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2015-06-30,0.215625775740493
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2015-09-30,0.375415908509095
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2015-12-31,0.392076432317195
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2016-03-31,0.316925714965719
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2016-06-30,0.206788702995002
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2016-09-30,0.251481297233461
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2016-12-31,0.438719077508726
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2017-03-31,0.32946416827579
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2017-06-30,0.596363088502627
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2017-09-30,0.487635240181368
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2017-12-31,0.449702642897875
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2018-03-31,0.626080167112058
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2018-06-30,0.606012988495783
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2018-09-30,0.383616262699659
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2018-12-31,0.52915309813661
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2019-03-31,0.454994318673337
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2019-06-30,0.474064871610579
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2019-09-30,0.349741428693795
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2019-12-31,0.353538930476984
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2020-03-31,0.30908578632227
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2020-06-30,0.195700392772177
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2020-09-30,0.280234928532157
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2020-12-31,0.375468113177867
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2021-03-31,0.494589059324855
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2021-06-30,0.55339918834661
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2021-09-30,0.692731439412887
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2021-12-31,0.49291077289598
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2022-03-31,0.218005796158789
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2022-06-30,0.0748620072848057
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2022-09-30,0.0958061896643096
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2022-12-31,0.143298197252253
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2023-03-31,0.179207227561003
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2023-06-30,0.241711533456596
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2003-06-30,-296000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2003-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2003-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2004-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2004-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2004-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2004-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2005-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2005-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2005-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2005-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2006-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2006-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2006-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2006-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2007-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2007-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2007-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2007-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2008-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2008-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2008-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2008-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2009-03-31,240000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2009-06-30,1165000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2009-09-30,-31000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2009-12-31,831000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2010-03-31,519000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2010-06-30,2724000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2010-09-30,2314000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2010-12-31,1687000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2011-03-31,-357000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2011-06-30,2053000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2011-09-30,-4056000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2011-12-31,-582000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2012-03-31,-1031000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2012-06-30,467000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2012-09-30,-485000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2012-12-31,1403000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2013-03-31,-235000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2013-06-30,-4699000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2013-09-30,528000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2013-12-31,1096000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2014-03-31,-3752000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2014-06-30,932000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2014-09-30,-100000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2014-12-31,-345000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2015-03-31,552000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2015-06-30,241000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2015-09-30,2074000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2015-12-31,-1221000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2016-03-31,-260000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2016-06-30,-868000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2016-09-30,95000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2016-12-31,399000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2017-03-31,-220000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2017-06-30,762000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2017-09-30,103000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2017-12-31,-625000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2018-03-31,613000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2018-06-30,-682000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2018-09-30,17000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2018-12-31,47000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2019-03-31,229000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2019-06-30,-402000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2019-09-30,2245000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2019-12-31,2039000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2020-03-31,843000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2020-06-30,4926000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2020-09-30,6428000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2020-12-31,-384000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2021-03-31,-739000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2021-06-30,-1736000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2021-09-30,4871000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2021-12-31,-2700000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2022-03-31,-10931000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2022-06-30,-4266000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2022-09-30,470000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2022-12-31,1527000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2023-03-31,1432000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Net Transactions

(A)",2023-06-30,822000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2003-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2003-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2003-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2004-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2004-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2004-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2004-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2005-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2005-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2005-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2005-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2006-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2006-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2006-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2006-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2007-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2007-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2007-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2007-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2008-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2008-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2008-09-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2008-12-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2009-03-31,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2009-06-30,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2009-09-30,10000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2009-12-31,7000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2010-03-31,2000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2010-06-30,2000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2010-09-30,12000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",2010-12-31,33000000
